DayCount,Date,VancouverCoastal,Interior,Fraser,Island,Northern
1,2020-01-27,1,0,0,0,0
2,2020-01-28,1,0,0,0,0
3,2020-01-29,2,0,0,0,0
4,2020-01-30,2,0,0,0,0
5,2020-01-31,2,0,0,0,0
6,2020-02-01,2,0,0,0,0
7,2020-02-02,2,0,0,0,0
8,2020-02-03,2,0,0,0,0
9,2020-02-04,2,0,0,0,0
10,2020-02-05,4,0,0,0,0
11,2020-02-06,4,0,0,0,0
12,2020-02-07,4,0,0,0,0
13,2020-02-08,4,0,0,0,0
14,2020-02-09,4,0,0,0,0
15,2020-02-10,4,0,0,0,0
16,2020-02-11,4,0,0,0,0
17,2020-02-12,4,0,0,0,0
18,2020-02-13,4,0,0,0,0
19,2020-02-14,4,1,0,0,0
20,2020-02-15,4,1,0,0,0
21,2020-02-16,4,1,0,0,0
22,2020-02-17,4,1,0,0,0
23,2020-02-18,4,1,0,0,0
24,2020-02-19,4,1,0,0,0
25,2020-02-20,4,1,1,0,0
26,2020-02-21,4,1,1,0,0
27,2020-02-22,4,1,1,0,0
28,2020-02-23,4,1,1,0,0
29,2020-02-24,4,1,2,0,0
30,2020-02-25,4,1,2,0,0
31,2020-02-26,4,1,2,0,0
32,2020-02-27,4,1,2,0,0
33,2020-02-28,4,1,2,0,0
34,2020-02-29,5,1,2,0,0
35,2020-03-01,5,1,2,0,0
36,2020-03-02,5,1,2,0,0
37,2020-03-03,8,1,3,0,0
38,2020-03-04,9,1,3,0,0
39,2020-03-05,17,1,3,0,0
40,2020-03-06,17,1,3,0,0
41,2020-03-07,19,1,7,0,0
42,2020-03-08,19,1,7,0,0
43,2020-03-09,21,1,10,0,0
44,2020-03-10,26,1,12,0,0
45,2020-03-11,28,1,16,1,0
46,2020-03-12,33,1,18,1,0
47,2020-03-13,44,1,18,1,0
48,2020-03-14,44,1,18,1,0
49,2020-03-15,44,1,18,1,0
50,2020-03-16,64,2,26,2,0
51,2020-03-17,116,7,47,12,4
52,2020-03-18,144,9,58,16,4
53,2020-03-19,152,12,81,22,4
54,2020-03-20,200,19,95,30,4
55,2020-03-21,230,27,126,37,4
56,2020-03-22,230,27,126,37,4
57,2020-03-23,248,30,150,39,5
58,2020-03-24,330,41,194,44,8
59,2020-03-25,339,46,218,47,9
