DayCount,Date,VancouverCoastal_confirmed,Fraser_confirmed,Island_confirmed,Interior_confirmed,Northern_confirmed
1,2020-01-27,1,0,0,0,0
2,2020-01-28,1,0,0,0,0
3,2020-01-29,2,0,0,0,0
4,2020-01-30,2,0,0,0,0
5,2020-01-31,2,0,0,0,0
6,2020-02-01,2,0,0,0,0
7,2020-02-02,2,0,0,0,0
8,2020-02-03,2,0,0,0,0
9,2020-02-04,2,0,0,0,0
10,2020-02-05,4,0,0,0,0
11,2020-02-06,4,0,0,0,0
12,2020-02-07,4,0,0,0,0
13,2020-02-08,4,0,0,0,0
14,2020-02-09,4,0,0,0,0
15,2020-02-10,4,0,0,0,0
16,2020-02-11,4,0,0,0,0
17,2020-02-12,4,0,0,0,0
18,2020-02-13,4,0,0,0,0
19,2020-02-14,4,0,0,1,0
20,2020-02-15,4,0,0,1,0
21,2020-02-16,4,0,0,1,0
22,2020-02-17,4,0,0,1,0
23,2020-02-18,4,0,0,1,0
24,2020-02-19,4,0,0,1,0
25,2020-02-20,4,1,0,1,0
26,2020-02-21,4,1,0,1,0
27,2020-02-22,4,1,0,1,0
28,2020-02-23,4,1,0,1,0
29,2020-02-24,4,2,0,1,0
30,2020-02-25,4,2,0,1,0
31,2020-02-26,4,2,0,1,0
32,2020-02-27,4,2,0,1,0
33,2020-02-28,4,2,0,1,0
34,2020-02-29,5,2,0,1,0
35,2020-03-01,5,2,0,1,0
36,2020-03-02,5,2,0,1,0
37,2020-03-03,8,3,0,1,0
38,2020-03-04,9,3,0,1,0
39,2020-03-05,17,3,0,1,0
40,2020-03-06,17,3,0,1,0
41,2020-03-07,19,7,0,1,0
42,2020-03-08,19,7,0,1,0
43,2020-03-09,21,10,0,1,0
44,2020-03-10,26,12,0,1,0
45,2020-03-11,28,16,1,1,0
46,2020-03-12,33,18,1,1,0
47,2020-03-13,44,18,1,1,0
48,2020-03-14,44,18,1,1,0
49,2020-03-15,44,18,1,1,0
50,2020-03-16,64,26,2,2,0
51,2020-03-17,116,47,12,7,4
52,2020-03-18,144,58,16,9,4
53,2020-03-19,152,81,22,12,4
54,2020-03-20,200,95,30,19,4
55,2020-03-21,230,126,37,27,4
56,2020-03-22,248,150,39,30,5
57,2020-03-23,286,163,44,40,6
58,2020-03-24,330,194,44,41,8
59,2020-03-25,339,218,47,46,9
60,2020-03-26,359,241,52,62,11
61,2020-03-27,391,262,57,70,12
62,2020-03-28,444,291,60,77,12
63,2020-03-29,444,295,63,84,14
64,2020-03-30,472,323,67,94,14
65,2020-03-31,476,348,67,107,15
66,2020-04-01,497,367,72,114,16
67,2020-04-02,525,386,72,121,17
68,2020-04-03,541,412,74,126,21
69,2020-04-04,554,424,76,128,21
70,2020-04-05,572,427,79,128,22
71,2020-04-06,586,450,79,128,23
